number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
44,0.8936688311688312,2023-04-09 23:57:38.556025,2023-04-09 23:58:27.447646,0 days 00:00:48.891621,112,58,5,0.38174207812314986,0.0017909967275524287,2,0,2,312,273.0,,Adam,COMPLETE
2,0.8933658933658933,2023-04-09 23:18:20.852051,2023-04-09 23:19:24.793964,0 days 00:01:03.941913,63,54,16,0.19959337115514725,0.031702844651219385,3,0,2,356,307.0,,Adam,COMPLETE
11,0.8920545746388443,2023-04-09 23:27:33.107190,2023-04-09 23:28:30.678009,0 days 00:00:57.570819,89,88,6,0.21681004150098543,0.0026205390850831734,1,1,3,129,277.0,139.0,Adam,COMPLETE
49,0.8904991948470209,2023-04-10 00:01:46.573566,2023-04-10 00:02:40.592053,0 days 00:00:54.018487,108,71,3,0.1497153133874408,0.055822049892869055,3,0,2,323,238.0,,Adam,COMPLETE
88,0.8892914653784219,2023-04-10 00:35:22.335929,2023-04-10 00:36:16.464445,0 days 00:00:54.128516,108,67,4,0.11193329533169628,0.0002191900691641315,2,3,2,289,372.0,,Adam,COMPLETE
22,0.8873009391588403,2023-04-09 23:38:03.168384,2023-04-09 23:38:59.882714,0 days 00:00:56.714330,79,64,7,0.17169395715276933,0.0024723833981829028,1,2,2,59,262.0,,Adam,COMPLETE
93,0.885551948051948,2023-04-10 00:39:40.804151,2023-04-10 00:40:28.447743,0 days 00:00:47.643592,112,60,4,0.40703361450254194,0.00030213073561589546,2,0,2,274,339.0,,Adam,COMPLETE
40,0.885547201336675,2023-04-09 23:54:22.542158,2023-04-09 23:55:10.453622,0 days 00:00:47.911464,126,59,3,0.10071345021096524,0.09801921454858713,3,0,1,268,,,Adam,COMPLETE
25,0.8852657004830918,2023-04-09 23:41:40.757884,2023-04-09 23:42:31.798889,0 days 00:00:51.041005,108,38,4,0.29126877970180526,0.000230203123454383,1,1,1,117,,,Adam,COMPLETE
67,0.8851540616246498,2023-04-10 00:17:16.305530,2023-04-10 00:18:13.077273,0 days 00:00:56.771743,119,62,8,0.15731784703867552,0.0005243807734323325,2,3,2,254,59.0,,Adam,COMPLETE
