optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,64.0,0.001,No Regularization,0.0,0.0,0.0,0.939873456954956,0.23310440480709077,0.9968991875648499,0.02523232328182102,134.403
Adam,256.0,0.001,Dropout,0.0,0.0,0.3,0.939873456954956,0.28579022487004596,0.9762919545173645,0.16565440973786058,125.925
Adam,64.0,0.001,L2,0.001,0.0,0.0,0.9382911920547485,0.26814197599887846,0.9930232167243958,0.06759392277699364,138.567
Adam,256.0,0.001,L2,0.001,0.0,0.0,0.9382911920547485,0.30885016918182373,0.9944444298744202,0.08490872480830208,120.516
Adam,32.0,0.001,L2,0.001,0.0,0.0,0.9351266026496887,0.21951423957943916,0.9872092604637146,0.08588602335369291,149.83
Adam,256.0,0.001,No Regularization,0.0,0.0,0.0,0.9351266026496887,0.27724261085192364,0.9942505955696106,0.07807678509442532,120.59
Adam,32.0,0.001,L2-Dropout,0.01,0.0,0.3,0.9351266026496887,0.4707458935678005,0.9613048434257507,0.47090906742190525,150.751
Adam,32.0,0.001,L1-Dropout,0.0,0.001,0.3,0.9335443377494812,0.2744557738304138,0.9190568327903748,0.3301200765716143,146.404
Adam,128.0,0.001,L2-Dropout,0.001,0.0,0.3,0.9256329536437988,0.3025606542825699,0.9821059107780457,0.12023545041187736,128.006
Adam,64.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.9240506291389465,0.36560897827148436,0.9351420998573303,0.32431298420448934,143.678
Adam,64.0,0.001,L2-Dropout,0.01,0.0,0.3,0.9240506291389465,0.5571251541376114,0.9690567851066589,0.4339423097115903,152.955
Adam,32.0,0.001,Elastic,0.01,0.001,0.0,0.9240506291389465,0.7738807976245881,0.945542573928833,0.5618118861736345,154.29
Adam,256.0,0.001,L2-Dropout,0.001,0.0,0.3,0.922468364238739,0.3349561591943105,0.9707363843917847,0.19650437377515387,119.503
Adam,64.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.922468364238739,0.915233039855957,0.9405038356781006,0.6309079790164617,137.514
Adam,256.0,0.001,Elastic,0.01,0.001,0.0,0.9208860993385315,0.7994346618652344,0.9697027802467346,0.4940202866421371,122.077
