optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
SGD,64.0,0.01,L2,0.01,0.0,0.0,0.8580000400543213,0.44431643560528755,0.9180833101272583,0.3410346545279026,35.296
SGD,128.0,0.01,L2,0.001,0.0,0.0,0.8580000400543213,0.4615822285413742,0.9020000100135803,0.3669541297440833,34.705
SGD,32.0,0.01,Elastic,0.01,0.001,0.0,0.8580000400543213,0.4619522728025913,0.8965833187103271,0.36677683556079865,45.282
SGD,32.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8560000658035278,0.4623885350301862,0.8694999814033508,0.44593123292922976,39.848
SGD,256.0,0.01,Elastic,0.001,0.01,0.0,0.8560000658035278,0.6313560009002686,0.8670833110809326,0.5186404091246585,30.091
SGD,64.0,0.01,No Regularization,0.0,0.0,0.0,0.8540000319480896,0.4074729047715664,0.9239166378974915,0.2733573591772546,34.12
SGD,64.0,0.01,Elastic,0.001,0.001,0.0,0.8540000319480896,0.4165897034108639,0.9230833053588867,0.28241752476451243,36.948
SGD,32.0,0.01,L2,0.01,0.0,0.0,0.8520000576972961,0.42474706936627626,0.92208331823349,0.3157634327809016,43.089
SGD,64.0,0.01,L2,0.001,0.0,0.0,0.8520000576972961,0.427459716796875,0.9294166564941406,0.2740856038921691,40.596
SGD,128.0,0.01,L1,0.0,0.001,0.0,0.8520000576972961,0.4421846941113472,0.9054166674613953,0.3660924566235948,27.358
SGD,128.0,0.01,Elastic,0.01,0.001,0.0,0.8520000576972961,0.5003626272082329,0.9042499661445618,0.40363544352511144,30.187
SGD,128.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8520000576972961,0.5387042015790939,0.8347499966621399,0.5734396567370029,34.89
Adam,128.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8500000238418579,0.45821763575077057,0.8236666321754456,0.48258972041150355,28.909
SGD,128.0,0.01,Elastic,0.001,0.001,0.0,0.8480000495910645,0.4715329185128212,0.9049999713897705,0.3625387302104463,28.244
SGD,32.0,0.01,L2,0.001,0.0,0.0,0.8460000157356262,0.39957251120358706,0.9304166436195374,0.23528329426050187,40.677
SGD,256.0,0.01,Elastic,0.01,0.001,0.0,0.8440000414848328,0.5736873149871826,0.872249960899353,0.5259031475858486,32.859
SGD,64.0,0.01,Dropout,0.0,0.0,0.3,0.8420000672340393,0.4364486485719681,0.8576666712760925,0.43261569690831164,28.982
Adam,32.0,0.01,Elastic,0.001,0.001,0.0,0.8420000672340393,0.48048478178679943,0.8212499618530273,0.5125530086755753,51.613
SGD,64.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.8400000333786011,0.42655275762081146,0.8634999990463257,0.4264297200010178,35.982
SGD,128.0,0.01,L2,0.01,0.0,0.0,0.8400000333786011,0.5276937782764435,0.8954166769981384,0.42186324361791,27.017
SGD,256.0,0.01,Elastic,0.001,0.001,0.0,0.8400000333786011,0.5484072268009186,0.8806666731834412,0.47249044446235006,34.846
SGD,256.0,0.01,L1,0.0,0.01,0.0,0.8400000333786011,0.5946891903877258,0.8799166679382324,0.482866828745984,31.429
SGD,64.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8360000252723694,0.44508635625243187,0.8600833415985107,0.43940522711961827,31.301
SGD,64.0,0.01,L2-Dropout,0.01,0.0,0.3,0.8360000252723694,0.48869576305150986,0.8558333516120911,0.4965842618270123,36.376
SGD,128.0,0.01,L2-Dropout,0.01,0.0,0.3,0.8360000252723694,0.538531057536602,0.8275833129882812,0.5741700346165515,33.99
SGD,64.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8320000171661377,0.4926231801509857,0.8599166870117188,0.4815175536465138,33.658
Adam,32.0,0.01,Dropout,0.0,0.0,0.3,0.8320000171661377,0.5281598819419742,0.8926666378974915,0.2830923727701108,40.922
SGD,256.0,0.01,L2,0.001,0.0,0.0,0.8320000171661377,0.5647644400596619,0.862583339214325,0.5286460950019511,31.86
SGD,256.0,0.01,Elastic,0.01,0.01,0.0,0.8300000429153442,0.6785998642444611,0.8648332953453064,0.543381505190058,40.423
Adam,64.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8280000686645508,0.4980325922369957,0.8036666512489319,0.5326616174363076,39.608
SGD,128.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8280000686645508,0.5143769532442093,0.8326666355133057,0.5532381306303308,28.426
SGD,128.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8280000686645508,0.5226073488593102,0.8321666717529297,0.5427930776743178,28.51
Adam,64.0,0.01,L2,0.001,0.0,0.0,0.8260000348091125,0.47199535369873047,0.8509166836738586,0.4032299665218972,38.909
SGD,128.0,0.01,Dropout,0.0,0.0,0.3,0.8260000348091125,0.5176183953881264,0.8275833129882812,0.5517347137978736,34.455
Adam,64.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8260000348091125,0.5276260301470757,0.8246666789054871,0.47407843196328653,37.169
SGD,256.0,0.01,No Regularization,0.0,0.0,0.0,0.8260000348091125,0.5892858803272247,0.8604166507720947,0.5362537382765019,27.965
SGD,128.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.8240000605583191,0.5217457190155983,0.8334166407585144,0.5435391239663387,28.102
SGD,256.0,0.01,L1,0.0,0.001,0.0,0.8240000605583191,0.5876471102237701,0.871749997138977,0.4923964149140297,32.088
SGD,256.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8240000605583191,0.6035190224647522,0.7954166531562805,0.6859012778769148,33.378
Adam,128.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8220000267028809,0.5341098755598068,0.8421666622161865,0.4320515971234504,27.528
Adam,128.0,0.01,Elastic,0.001,0.001,0.0,0.8220000267028809,0.5791987031698227,0.8516666293144226,0.4120364877137732,32.074
SGD,256.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.8220000267028809,0.5997963547706604,0.7994999885559082,0.6871122882721272,33.045
SGD,256.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.8220000267028809,0.7262251675128937,0.8134999871253967,0.6907703394585467,29.391
Adam,32.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8200000524520874,0.5501540005207062,0.8061666488647461,0.5411256963014602,40.041
Adam,256.0,0.01,L1,0.0,0.001,0.0,0.8200000524520874,0.5573173463344574,0.8536666631698608,0.4035534573362229,26.678
SGD,256.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8160000443458557,0.6295549869537354,0.7909166812896729,0.7109072867860186,39.313
Adam,32.0,0.01,L2,0.001,0.0,0.0,0.812000036239624,0.493533605709672,0.8377500176429749,0.45353076167901357,43.966
SGD,256.0,0.01,L1-Dropout,0.0,0.01,0.3,0.812000036239624,0.6688693165779114,0.8140000104904175,0.6476959129597278,41.027
Adam,128.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.8100000619888306,0.5551563128829002,0.8209166526794434,0.4934823902997565,30.357
SGD,256.0,0.01,L2,0.01,0.0,0.0,0.8100000619888306,0.5823735594749451,0.8708333373069763,0.5161691301680625,34.065
SGD,256.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8100000619888306,0.5974323153495789,0.7987499833106995,0.6761962847506746,33.081
Adam,256.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8060000538825989,0.5540434122085571,0.8413333296775818,0.43950644072065964,41.161
Adam,128.0,0.01,L1,0.0,0.001,0.0,0.8040000200271606,0.5466214865446091,0.8482499718666077,0.41531965295051004,29.858
Adam,64.0,0.01,L1,0.0,0.001,0.0,0.800000011920929,0.5671499408781528,0.8338333368301392,0.45135714248456854,42.709
SGD,256.0,0.01,Dropout,0.0,0.0,0.3,0.800000011920929,0.6239231824874878,0.7917500138282776,0.6866073621080276,32.772
SGD,256.0,0.01,L2-Dropout,0.01,0.0,0.3,0.7980000376701355,0.6931145191192627,0.7919166684150696,0.7418827338421599,27.638
Adam,32.0,0.01,L1,0.0,0.001,0.0,0.7940000295639038,0.5365709029138088,0.8061666488647461,0.520288166642189,43.055
Adam,64.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.7900000214576721,0.603441521525383,0.7902500033378601,0.5717508444126617,47.525
Adam,32.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.7900000214576721,0.6172718983143568,0.7577499747276306,0.6544943114121755,50.571
Adam,64.0,0.01,Elastic,0.001,0.001,0.0,0.7880000472068787,0.6583455093204975,0.8349166512489319,0.46402108154081284,38.545
Adam,32.0,0.01,L2,0.01,0.0,0.0,0.7880000472068787,0.6889720894396305,0.7717499732971191,0.6872151160240173,43.936
Adam,256.0,0.01,L2-Dropout,0.001,0.0,0.3,0.7820000648498535,0.587742954492569,0.8539999723434448,0.40455038496788515,30.53
Adam,64.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.7820000648498535,0.6797451078891754,0.7578333020210266,0.7210139901714122,40.07
SGD,256.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.7820000648498535,0.7104406356811523,0.8125,0.6602242183178029,31.09
Adam,256.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.7820000648498535,0.7235551476478577,0.8345000147819519,0.4598266044829754,28.434
Adam,256.0,0.01,Elastic,0.01,0.001,0.0,0.7780000567436218,0.6246955096721649,0.812416672706604,0.5653509339119526,32.235
Adam,256.0,0.01,L2-Dropout,0.01,0.0,0.3,0.7560000419616699,0.7257661819458008,0.8090833425521851,0.5838238343279413,25.732
Adam,256.0,0.01,L2,0.001,0.0,0.0,0.7520000338554382,0.7544931769371033,0.8629999756813049,0.37145875679685714,28.118
Adam,64.0,0.01,L2-Dropout,0.01,0.0,0.3,0.7520000338554382,0.8964418321847916,0.7637500166893005,0.687128484724684,53.331
Adam,256.0,0.01,L1-Dropout,0.0,0.01,0.3,0.7480000257492065,0.7314304113388062,0.7551666498184204,0.7180357930508066,34.868
Adam,128.0,0.01,L2,0.001,0.0,0.0,0.7460000514984131,0.7579033374786377,0.8535833358764648,0.39602089086745645,28.586
Adam,128.0,0.01,Elastic,0.01,0.001,0.0,0.7400000095367432,0.7747904509305954,0.8021666407585144,0.5843411290899236,42.793
Adam,64.0,0.01,Elastic,0.01,0.001,0.0,0.7400000095367432,0.9692412763834,0.7953333258628845,0.6231528904209745,38.743
Adam,32.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.7380000352859497,0.88255625218153,0.7278333306312561,0.8075653435389201,47.673
Adam,256.0,0.01,Elastic,0.001,0.001,0.0,0.7320000529289246,0.7235395908355713,0.85916668176651,0.3927602235307085,30.579
Adam,128.0,0.01,L2,0.01,0.0,0.0,0.7300000190734863,0.9466598033905029,0.831166684627533,0.5248827842321802,38.54
Adam,64.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.7220000624656677,0.8382534831762314,0.7243333458900452,0.789727693859567,39.582
Adam,64.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.718000054359436,0.9859393537044525,0.7073333263397217,0.9005435990526321,32.535
Adam,128.0,0.01,L2-Dropout,0.01,0.0,0.3,0.7160000205039978,0.7422041594982147,0.8044166564941406,0.600665972904956,37.104
Adam,32.0,0.01,L2-Dropout,0.01,0.0,0.3,0.7160000205039978,0.7509281300008297,0.7409166693687439,0.7676435216267904,47.51
Adam,256.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.7160000205039978,0.8826262652873993,0.7609999775886536,0.7072500852828331,31.891
Adam,128.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.7140000462532043,1.1259821653366089,0.734666645526886,0.8394869730827657,44.132
Adam,128.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.706000030040741,0.9245801568031311,0.7698333263397217,0.6759732714358796,28.433
Adam,128.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.7020000219345093,0.82123963534832,0.7429999709129333,0.7468653073970307,28.23
Adam,256.0,0.01,L1,0.0,0.01,0.0,0.7020000219345093,0.8717685639858246,0.8043333292007446,0.5927928147163797,36.701
Adam,32.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.7000000476837158,0.9297074563801289,0.6763333082199097,0.9188997659683228,49.267
Adam,32.0,0.01,L1-Dropout,0.0,0.001,0.3,0.6980000138282776,0.8614167664200068,0.7818333506584167,0.5867014499107996,41.898
SGD,32.0,0.01,Elastic,0.001,0.01,0.0,0.6980000138282776,0.945848423987627,0.702833354473114,0.9206068454583486,48.508
Adam,64.0,0.01,Elastic,0.01,0.01,0.0,0.6960000395774841,0.99686399102211,0.7577499747276306,0.7849569453838023,36.404
Adam,128.0,0.01,Elastic,0.001,0.01,0.0,0.6940000057220459,0.9381761252880096,0.7839166522026062,0.6346468018724564,27.977
Adam,256.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.690000057220459,0.963648796081543,0.7377499938011169,0.8375088940275476,26.68
SGD,64.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.6640000343322754,1.2241702675819397,0.690833330154419,0.9199535602584799,41.571
Adam,32.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.6580000519752502,1.0779152996838093,0.6477500200271606,1.0131952045758565,47.361
Adam,64.0,0.01,Elastic,0.001,0.01,0.0,0.6480000019073486,1.209436148405075,0.762416660785675,0.6801664860958748,41.819
Adam,64.0,0.01,L1-Dropout,0.0,0.01,0.3,0.6380000114440918,1.0270220562815666,0.7258332967758179,0.7845932619368776,35.875
Adam,32.0,0.01,Elastic,0.01,0.01,0.0,0.6240000128746033,1.0162102989852428,0.687999963760376,0.9026149151325226,45.505
SGD,32.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.6240000128746033,1.0470466800034046,0.6859166622161865,0.9799355298678081,40.882
Adam,64.0,0.01,L1,0.0,0.01,0.0,0.6240000128746033,1.1386352479457855,0.7670000195503235,0.6714027573136573,33.331
Adam,256.0,0.01,Elastic,0.01,0.01,0.0,0.6200000047683716,1.1510778665542603,0.7800832986831665,0.7266482507928889,29.52
Adam,256.0,0.01,L2,0.01,0.0,0.0,0.6200000047683716,1.3617370128631592,0.8288333415985107,0.5311797445124768,37.038
SGD,32.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.6200000047683716,1.4371317774057388,0.6794166564941406,1.0664039417902629,40.772
SGD,32.0,0.01,L1-Dropout,0.0,0.01,0.3,0.6160000562667847,1.5245647057890892,0.6788333058357239,0.9809492222468058,37.309
SGD,128.0,0.01,Elastic,0.001,0.01,0.0,0.5860000252723694,1.3827551901340485,0.7587500214576721,0.7662100348066776,30.716
SGD,128.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.5440000295639038,1.3794937133789062,0.7573333382606506,0.7496576756238937,28.397
SGD,128.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.5380000472068787,1.5113189220428467,0.7409999966621399,0.8495629911727094,33.099
Adam,128.0,0.01,L1,0.0,0.01,0.0,0.5360000133514404,1.679227501153946,0.7834166288375854,0.6160792445248746,35.151
Adam,32.0,0.01,L1-Dropout,0.0,0.01,0.3,0.5300000309944153,1.3391874879598618,0.6832500100135803,0.8834601778189342,42.459
