optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,256.0,0.01,L2,0.001,0.0,0.0,0.9580000638961792,0.12544580176472664,0.9725832939147949,0.09484884832450684,17.016
SGD,64.0,0.01,L1,0.0,0.001,0.0,0.9580000638961792,0.18346748314797878,0.9642499685287476,0.19701286421177236,19.041
SGD,32.0,0.01,L2,0.01,0.0,0.0,0.9580000638961792,0.1922566038556397,0.9705833196640015,0.21119773451487223,23.265
Adam,256.0,0.01,L2,0.01,0.0,0.0,0.9580000638961792,0.24451810866594315,0.9585832953453064,0.22001030533871752,15.549
Adam,256.0,0.01,Elastic,0.001,0.001,0.0,0.956000030040741,0.17001531273126602,0.9635833501815796,0.13198750085653144,15.741
SGD,64.0,0.01,L2,0.001,0.0,0.0,0.956000030040741,0.21418314520269632,0.9549166560173035,0.23298303965241351,18.519
Adam,64.0,0.01,L2-Dropout,0.001,0.0,0.3,0.9540000557899475,0.1570101585239172,0.8825833201408386,0.366123691993825,20.816
Adam,256.0,0.01,L1,0.0,0.001,0.0,0.9540000557899475,0.16174115613102913,0.9651666283607483,0.11770899245079527,15.756
SGD,64.0,0.01,L2,0.01,0.0,0.0,0.9540000557899475,0.2540236860513687,0.9599166512489319,0.2735764632358196,19.403
Adam,32.0,0.01,L2-Dropout,0.001,0.0,0.3,0.9480000734329224,0.1658708357717842,0.8521666526794434,0.45844862347841264,27.277
Adam,128.0,0.01,L2-Dropout,0.001,0.0,0.3,0.9480000734329224,0.1727887000888586,0.9074166417121887,0.29929270056333945,18.992
Adam,256.0,0.01,L2-Dropout,0.001,0.0,0.3,0.9460000395774841,0.1552167572081089,0.9208333492279053,0.252497617234575,15.131
Adam,64.0,0.01,Elastic,0.001,0.001,0.0,0.9460000395774841,0.16603554505854845,0.9440833330154419,0.19541220971323708,23.128
Adam,32.0,0.01,L2,0.001,0.0,0.0,0.9460000395774841,0.1726345889037475,0.9495833516120911,0.17470279781520368,31.604
SGD,128.0,0.01,L2,0.001,0.0,0.0,0.9440000653266907,0.30405163392424583,0.9380833506584167,0.35293739241488437,16.245
SGD,128.0,0.01,Elastic,0.001,0.001,0.0,0.9420000314712524,0.2983032949268818,0.9429166316986084,0.33830000063840376,17.501
SGD,128.0,0.01,L1,0.0,0.001,0.0,0.9420000314712524,0.31261471286416054,0.9399999976158142,0.3515304368227086,15.772
SGD,32.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.940000057220459,0.3149048127233982,0.8685833215713501,0.5454660929838816,26.415
Adam,128.0,0.01,Elastic,0.001,0.001,0.0,0.9380000233650208,0.24374721944332123,0.9549999833106995,0.1571209618544325,20.383
Adam,256.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.9360000491142273,0.2108452394604683,0.874750018119812,0.41779281547729,17.401
SGD,128.0,0.01,L1,0.0,0.01,0.0,0.9360000491142273,0.4497821182012558,0.9526666402816772,0.31741670439852043,16.391
SGD,32.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.9340000152587891,0.2518289373256266,0.8685833215713501,0.4807207862138748,28.52
SGD,256.0,0.01,Elastic,0.001,0.01,0.0,0.9340000152587891,0.4766083061695099,0.921750009059906,0.4835867241342017,16.029
SGD,256.0,0.01,Elastic,0.01,0.01,0.0,0.9340000152587891,0.535263255238533,0.925083339214325,0.5268232930213848,27.646
