number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,state
11,0.44200003147125244,2023-04-09 00:25:29.822765,2023-04-09 00:26:02.353565,0 days 00:00:32.530800,0.08600000000000001,0.081,32,0.2,0.001,SGD,1.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0358080000005f706f7073697a6571044b0758030000005f6d7571054b0358070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d624308e4aa647ddc090240710e86710f52711058030000005f636371116807680b43083e39d84fb3e1e13f711286711352711458030000005f633171156807680b43088785f23a4daeb83f711686711752711858040000005f636d7571196807680b43089026bdad883caa3f711a86711b52711c58080000005f635f7369676d61711d6807680b43089c0fa27bde8dda3f711e86711f52712058080000005f645f7369676d6171216807680b4308e783e89e77a3f63f712286712352712458030000005f636d71254b0158060000005f6368695f6e7126473ff98ccf7402d8f758080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0785712e680b89433838b370ce9abde23f38b370ce9abdd23f5a99b752be1cbf3f00000000000000004c692454e524dbbf45162a4f47a9e8bf0a807be2bc04f1bf712f7471306258080000005f705f7369676d617131682868294b00857132682b877133527134284b014b03857135680b894318a45b145338e705c0b029b215571dbb3f892d074b157ef03f71367471376258030000005f70637138682868294b00857139682b87713a52713b284b014b0385713c680b894318000000000000000000000000000000000000000000000000713d74713e6258050000005f6d65616e713f682868294b00857140682b877141527142284b014b03857143680b8943187894ef50d627cb3f54637f128159aa3f7a2920d19b72b03f71447471456258050000005f635f31647146682868294b00857147682b877148527149284b014b0685714a680b894330b89127fb073bf33fde0ac4d6c22a95bf9bbcd5dabc76b3bf25d62ed96e82f03f662cb97c5c4e7e3f76acc9fd35c9f03f714b74714c6258060000005f7369676d61714d6807680b4308ac0992291402963f714e86714f52715058020000005f4471514e58020000005f4271524e58070000005f626f756e64737153682868294b00857154682b877155527156284b014b034b02867157680b8943309a9999999999a9bf9a9999999999e13ffca9f1d24d6240bfee7c3f355ebab93ffca9f1d24d6240bfee7c3f355,ebab93f71587471596258110000005f6e5f6d61785f726573616d706c696e67715a4b1e58020000005f67715b4b0158050000005f746f6c78715c6807680b4308926283c4e0f3123d715d86715e52715f58070000005f746f6c78757071604740c388000000000058070000005f746f6c66756e7161473d719799812dea1158100000005f746f6c636f6e646974696f6e636f7671624742d6bcc41e900000580d0000005f66756e686973745f7465726d71634b17580f0000005f66756e686973745f76616c7565737164682868294b00857165682b877166527167284b014b2e857168680b8942700100001b2fdd240681b53ffca9f1d24d62603f000000a0efa7e6bf000000202db2bdbf3cdf4f8d976ea23f295c8fc2f528ac3ffca9f1d24d62a03f1b2fdd240681953ffa7e6abc7493883f4a0c022b8716b93f3cdf4f8d976e923f3cdf4f8d976ea23f8b6ce7fba9f1b23fba490c022b87863f0000000000000000d9cef753e3a59b3f0ad7a3703d0aa73fba490c022b87863ffca9f1d24d62803fba490c022b87963ffca9f1d24d62803ffca9f1d24d62903f9cc420b07268b13fd9cef753e3a59b3f0ad7a3703d0aa73ffa7e6abc7493783ffca9f1d24d62903f0000000000000000fca9f1d24d62703ffca9f1d24d62603f00000000000000003ab4c876be9f8a3f79e9263108ac7c3f9a9999999999993ffa7e6abc7493783f08ac1c5a643baf3f4c37894160e5a03f0000000000000000fca9f1d24d62703f3cdf4f8d976e923ffa7e6abc7493883f62105839b4c8b63ffa7e6abc7493683f7b14ae47e17a843fb81e85eb51b88e3f7b14ae47e17a943f716974716a6275622e,COMPLETE
26,0.4400000274181366,2023-04-09 00:27:56.329133,2023-04-09 00:28:24.300911,0 days 00:00:27.971778,0.099,0.048,32,0.2,0.001,SGD,1.0,0.0,,,COMPLETE
5,0.43400001525878906,2023-04-09 00:23:59.756007,2023-04-09 00:24:32.987810,0 days 00:00:33.231803,0.076,0.058,32,0.2,0.001,SGD,0.0,0.0,,,COMPLETE
4,0.43400001525878906,2023-04-09 00:23:43.328763,2023-04-09 00:23:59.753378,0 days 00:00:16.424615,0.07100000000000001,0.036000000000000004,256,0.30000000000000004,0.01,SGD,0.0,0.0,,,COMPLETE
65,0.4320000112056732,2023-04-09 00:34:27.425863,2023-04-09 00:34:31.420435,0 days 00:00:03.994572,0.017,0.06,64,0.2,0.001,SGD,2.0,0.0,,,PRUNED
29,0.4300000071525574,2023-04-09 00:29:07.694947,2023-04-09 00:29:18.461406,0 days 00:00:10.766459,0.041,0.043000000000000003,32,0.2,0.01,SGD,1.0,0.0,,,PRUNED
74,0.4020000100135803,2023-04-09 00:35:20.882916,2023-04-09 00:35:24.278239,0 days 00:00:03.395323,0.043000000000000003,0.062,256,0.2,0.01,Adam,2.0,0.0,,,PRUNED
37,0.398000031709671,2023-04-09 00:30:46.790852,2023-04-09 00:30:50.936990,0 days 00:00:04.146138,0.062,0.076,64,0.2,0.001,SGD,1.0,0.0,,,PRUNED
52,0.398000031709671,2023-04-09 00:32:45.151441,2023-04-09 00:32:50.769169,0 days 00:00:05.617728,0.043000000000000003,0.046,32,0.2,0.01,SGD,2.0,0.0,,,PRUNED
35,0.3960000276565552,2023-04-09 00:30:18.286602,2023-04-09 00:30:28.078158,0 days 00:00:09.791556,0.062,0.045,256,0.2,0.01,SGD,1.0,0.0,,,PRUNED
